ID,tsne1,tsne2
1,-6.203269,21.793816
3,24.389421,21.930132
4,-3.9168615,33.896996
8,-19.12603,8.117398
10,16.552914,-16.290363
13,2.16391,-26.965391
14,-25.283508,4.736059
18,10.236973,-9.383716
20,-14.429414,-44.239853
23,27.557756,25.997158
25,9.195632,-0.77854943
26,4.9617968,-27.615108
29,-16.79024,3.190452
31,15.648406,-14.18213
32,5.7206135,0.62108916
34,10.74792,-39.621536
36,-25.885,33.914215
39,6.112716,-3.1738129
42,14.294655,-4.88455
43,-2.0847783,40.000366
45,-23.54584,22.386969
49,-29.026873,-4.925443
51,-18.410425,19.774107
54,-14.959411,6.5811725
56,39.20113,21.591116
60,9.953005,-3.1558287
61,24.050371,-5.0786953
66,21.569115,27.343878
68,-7.444831,40.24559
74,-19.84032,0.58704853
75,-16.109365,-43.57216
77,-29.646431,-7.5668435
80,-27.502104,37.72385
82,-4.307198,11.792595
83,20.926561,19.691488
84,1.8702552,45.642685
87,-16.388977,36.047283
88,-13.340767,19.062206
90,7.8796153,21.54999
91,0.9087851,-34.836998
92,17.220135,33.15259
93,-15.485234,-9.00115
95,0.27182385,40.71046
101,26.973818,20.247437
102,8.239415,-8.760183
105,40.99511,9.355897
106,-8.777423,25.18519
107,23.052765,34.194374
109,-8.983604,1.9578686
111,21.506279,7.9716783
113,-33.822548,11.244514
115,4.172326,-13.758201
118,-29.792826,-9.687931
122,22.205849,-36.122063
125,21.547281,25.596401
127,-15.263688,10.598697
130,-16.605902,0.70221204
131,-42.20555,-8.106671
132,-3.1671247,-13.690174
134,10.031889,12.814607
135,5.927382,-5.897293
136,6.3383427,6.761499
137,-17.497442,28.835945
139,-13.090998,-40.70703
140,-15.87519,-18.007517
141,-5.1963353,36.264427
142,-5.4267015,21.388323
143,32.720642,-27.934559
144,-32.93495,-11.748311
145,2.8336265,24.049522
146,7.6053934,26.983875
148,-4.468928,23.321573
150,-14.6719055,32.927536
151,-5.6433544,-30.46661
152,30.30625,8.645021
153,15.79246,-20.015278
154,-28.023994,28.333136
155,7.9941707,-16.249762
156,24.465904,-44.928047
157,-12.104373,48.65041
159,1.1584193,-7.2811112
161,-10.052502,-41.259422
162,-46.602936,4.2680073
163,33.735577,26.871634
165,16.572687,38.66839
166,20.635569,3.882392
169,36.05114,31.107904
170,-4.3022213,-7.1087613
171,-24.384766,29.469423
172,10.961484,20.304853
173,-6.1438456,-6.3754587
175,11.867918,6.356088
176,-24.14366,-27.487621
177,16.770424,6.2457294
178,-15.560781,-8.654999
179,25.939,2.594167
180,-21.763353,-21.330313
182,-33.149437,23.27048
183,9.992621,-34.54266
184,-15.617927,-15.063276
186,-25.227179,16.196287
188,26.19354,36.53521
191,28.938456,-0.021184362
192,18.12787,-47.3285
193,36.12547,18.32079
195,-6.8208714,-20.581911
196,-11.50229,-35.19672
199,-28.66894,2.081371
200,23.170547,17.311028
202,43.02924,15.423703
203,-30.20953,-10.330196
204,8.219514,35.65298
206,14.884622,1.4825419
207,-33.454514,10.455255
209,7.7573,12.494733
210,-17.062702,0.25270817
212,-38.671867,-28.049654
213,14.702668,6.692208
214,-27.263695,-36.411865
215,11.700989,3.326685
217,19.561106,10.78916
218,1.1825675,47.684578
220,48.299934,1.3002143
221,15.466333,-36.275562
222,-28.551756,-13.513618
225,-35.72482,-21.539494
227,7.5064735,-16.176367
228,-14.0989065,-0.29825497
231,17.656055,-4.4079905
232,-2.4294715,9.406127
233,-18.19943,-30.159908
234,33.02705,-11.368607
235,25.781418,-23.448092
236,-23.84457,20.334606
239,35.268127,21.516247
241,16.140152,-26.87753
242,-39.684193,-8.197147
244,38.036037,-13.496227
252,-18.038805,32.511097
253,1.1955372,-5.3379292
254,-11.61445,-19.08558
258,32.55005,4.6762295
259,-36.901867,-19.183268
262,-10.428855,38.374557
265,38.672768,0.5949512
266,-2.1453943,22.500181
269,25.781418,-23.448092
270,0.71359086,-2.486773
271,-4.2651496,-9.933854
273,33.8986,23.962065
276,5.826313,-16.604044
279,-3.7250469,-31.77737
285,-0.3655431,11.225233
287,5.614386,19.796663
288,5.8426485,-31.65754
289,-0.10593898,-48.195717
292,-41.10281,-20.08752
294,-33.695232,-36.559483
296,-35.406063,4.689815
299,6.377973,-17.78564
301,-9.675416,7.0558267
302,-10.770829,25.324352
303,-7.826611,32.841675
306,32.681473,-15.860561
307,19.617155,7.296982
311,13.622347,1.0014138
314,18.814678,-10.648454
316,19.583555,14.13056
319,-21.532724,7.046308
320,2.7837403,27.48934
322,-6.203243,36.297756
324,-6.3835144,15.832678
332,22.871677,33.44145
333,6.1404185,28.714598
340,-25.725819,6.3925157
342,-25.730215,18.49914
344,22.157263,0.8589502
345,20.59036,-44.49705
347,18.12787,-47.3285
349,20.869886,5.7207103
353,-28.530148,29.59779
354,-23.47051,11.934722
355,-15.344485,-9.260812
356,17.376268,-1.0512624
359,23.010082,7.9723997
362,-29.92085,-13.067984
363,16.19744,16.382004
369,-19.987118,-45.869854
371,-34.732365,21.032755
373,15.698517,-32.4982
374,-36.75519,-14.601422
375,12.056301,26.36744
378,-6.2967463,-37.13068
382,-24.620245,28.483873
383,-26.39621,12.316896
384,47.605553,-14.044369
387,44.306328,-27.360987
388,-30.565922,23.68227
390,19.883865,31.70759
394,-6.971185,-10.971285
402,24.831692,18.573174
404,-26.031895,10.547061
407,21.728155,35.33036
408,3.89835,36.451122
410,22.463303,40.128937
412,-5.141371,-25.766806
